                                                                                IPDPS HALL OF FAME                                                                                
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Author				' 91 ' 92 ' 93 ' 94 ' 95 ' 96 ' 97 ' 98 ' 99 ' 00 ' 01 ' 02 ' 03 ' 04 ' 05 ' 06 ' 07 ' 08 ' 09 ' 10 ' 11 ' 12 ' 13 ' 14 ' 15 ' 16 ' 17 ' 18 ' 19 ' 20 

Pedro López			|  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  2  |  2  |  1  |  3  |  0  |  3  |  1  |  1  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     15
Padma Raghavan			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  3  |  4  |  0  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  1       ||     15
Loris Marchal			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  2  |  1  |  1  |  2  |  0  |  1  |  1  |  2  |  0  |  0  |  0  |  1  |  1  |  0  |  0       ||     15
Koji Nakano			|  0  |  0  |  0  |  0  |  0  |  1  |  1  |  3  |  3  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  1  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     15
Kirk W. Cameron			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  3  |  1  |  1  |  2  |  1  |  0  |  1  |  1  |  1  |  0  |  1  |  0  |  1  |  0       ||     15
Katherine A. Yelick			|  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  0  |  0  |  3  |  1  |  0  |  0  |  0  |  1  |  2  |  2  |  1  |  0  |  1  |  0  |  1       ||     15
Aydin Buluç			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  2  |  1  |  2  |  2  |  2  |  0  |  1  |  3       ||     15
Abhinav Bhatele			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  1  |  0  |  1  |  0  |  1  |  1  |  2  |  2  |  1  |  1  |  0  |  2       ||     15
Yi Pan				|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  1  |  1  |  1  |  2  |  1  |  2  |  0  |  0  |  1  |  2  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     14
Stephen A. Jarvis			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  1  |  1  |  1  |  3  |  2  |  2  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     14
Rami G. Melhem			|  0  |  0  |  0  |  1  |  1  |  0  |  1  |  2  |  1  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  1       ||     14
Peter Sanders			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  3  |  2  |  0  |  2  |  0  |  2  |  1  |  0  |  3  |  0  |  1       ||     14
Per Stenström			|  0  |  1  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  3  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  2  |  1  |  0  |  0  |  0  |  1  |  2       ||     14
Lonnie R. Welch			|  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  4  |  4  |  3  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     14
Laxmi N. Bhuyan			|  0  |  0  |  1  |  0  |  1  |  0  |  0  |  1  |  1  |  2  |  1  |  1  |  1  |  0  |  1  |  0  |  0  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  0  |  0       ||     14
James Demmel			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  2  |  0  |  6  |  2  |  1  |  1  |  0  |  1  |  0  |  0       ||     14
Eduard Ayguadé			|  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  0  |  2  |  2  |  1  |  1  |  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |  2  |  0  |  0  |  0       ||     14
Todd Gamblin			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  2  |  0  |  1  |  1  |  1  |  1  |  3  |  1  |  0  |  2       ||     13
Sanjay Ranka			|  0  |  0  |  1  |  0  |  0  |  3  |  0  |  4  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  2  |  0  |  1  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     13
Mohamed Ould-Khaoua		|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  2  |  1  |  2  |  1  |  0  |  1  |  2  |  1  |  1  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     13
Mitsuhisa Sato			|  0  |  0  |  0  |  1  |  0  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  2  |  2  |  2  |  1  |  1  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0       ||     13
Mary Jane Irwin			|  0  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  2  |  0  |  1  |  0  |  3  |  3  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     13
Manish Parashar			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |  1  |  2  |  2  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  0       ||     13
Jürgen Becker			|  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  5  |  5  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     13
Frédéric Vivien			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  1  |  3  |  1  |  1  |  1  |  1  |  1  |  0  |  0  |  0  |  1  |  0  |  0       ||     13
Franck Cappello			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  2  |  1  |  1  |  1  |  2  |  1  |  0  |  1  |  1       ||     13
Xiaobo Zhou			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |  0  |  0  |  2  |  0  |  0  |  0  |  1  |  1  |  1  |  1  |  0  |  1  |  2  |  0  |  0       ||     12
Sriram Krishnamoorthy		|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  2  |  1  |  1  |  0  |  1  |  0  |  2  |  0  |  0  |  0  |  0  |  1  |  1  |  1  |  0       ||     12
Robert B. Ross			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |  0  |  1  |  2  |  1  |  1  |  0  |  1  |  1  |  1  |  0  |  1       ||     12
Ramachandran Vaidyanathan		|  0  |  0  |  2  |  0  |  0  |  2  |  0  |  0  |  2  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  0  |  0  |  1       ||     12
